index	name	lang
0	Grandiflora One Regular	kor
1	Single Day Regular	kor
2	Poor Story Regular	kor
3	IBM Plex Sans KR Thin	kor
4	Nanum Gothic ExtraBold	kor
5	Jua Regular	kor
6	Gothic A1 Black	kor
7	Dongle Bold	kor
8	Nanum Gothic Bold	kor
9	Hahmlet Black	kor
10	Orbit Regular	kor
11	Noto Sans KR Thin	kor
12	Bagel Fat One Regular	kor
13	Noto Serif KR Black	kor
14	Gothic A1 Bold	kor
15	Gowun Batang Regular	kor
16	Sunflower Light	kor
17	Noto Sans KR Regular	kor
18	Gugi Regular	kor
19	Dongle Light	kor
20	Hahmlet Bold	kor
21	Gothic A1 ExtraBold	kor
22	Abhaya Libre ExtraBold	eng
23	Sunflower Medium	kor
24	Noto Sans KR Light	kor
25	Gowun Batang Bold	kor
26	IBM Plex Sans KR SemiBold	kor
27	Noto Serif KR SemiBold	kor
28	Gothic A1 Light	kor
29	ABeeZee Regular	eng
30	Diphylleia Regular	kor
31	Yeon Sung Regular	kor
32	Abhaya Libre Medium	eng
33	Gaegu Regular	kor
34	Gamja Flower Regular	kor
35	Black And White Picture Regular	kor
36	Hahmlet SemiBold	kor
37	Gothic A1 Thin	kor
38	Hahmlet ExtraLight	kor
39	Hahmlet Regular	kor
40	IBM Plex Sans KR ExtraLight	kor
41	Noto Serif KR ExtraLight	kor
42	Noto Sans KR Bold	kor
43	Moirai One Regular	kor
44	Noto Sans KR DemiLight	kor
45	Noto Serif KR Medium	kor
46	Hi Melody Regular	kor
47	Hahmlet Medium	kor
48	Noto Serif KR Bold	kor
49	Noto Sans KR Medium	kor
50	Gothic A1 SemiBold	kor
51	Gothic A1 ExtraLight	kor
52	ABeeZee italic	eng
53	Abhaya Libre Regular	eng
54	Abel Regular	eng
55	Abhaya Libre SemiBold	eng
56	Hahmlet Thin	kor
57	Nanum Gothic Coding Regular	kor
58	Stylish Regular	kor
59	Nanum Myeongjo Regular	kor
60	Sunflower Bold	kor
61	Nanum Gothic Coding Bold	kor
62	Gowun Dodum Regular	kor
63	Nanum Gothic Regular	kor
64	Gothic A1 Regular	kor
65	Noto Serif KR Light	kor
66	Dongle Regular	kor
67	IBM Plex Sans KR Regular	kor
68	Nanum Brush Script Regular	kor
69	Nanum Myeongjo ExtraBold	kor
70	Hahmlet ExtraBold	kor
71	Abhaya Libre Bold	eng
72	Dokdo Regular	kor
73	Noto Sans KR Black	kor
74	Gothic A1 Medium	kor
75	East Sea Dokdo Regular	kor
76	Gaegu Bold	kor
77	Gaegu Light	kor
78	IBM Plex Sans KR Light	kor
79	Kirang Hearang Regular	kor
80	IBM Plex Sans KR Medium	kor
81	Gasoek One Regular	kor
82	Hahmlet Light	kor
83	Black Han Sans Regular	kor
84	Abril Fatface Regular	eng
85	Song Myung Regular	kor
86	Nanum Myeongjo Bold	kor
87	Do Hyeon Regular	kor
88	Noto Serif KR Regular	kor
89	Nanum Pen Script Regular	kor
90	Cute Font Regular	kor
91	IBM Plex Sans KR Bold	kor
